Date,Description,Category,Payment Method,Amount,Notes
03/01/2025,Supermarket groceries,Food,Debit Card,54.3,Weekly groceries
05/01/2025,Coffee with friend,Food,Cash,3.5,Social
07/01/2025,Monthly rent,Housing,Bank Transfer,1200,Recurring
09/01/2025,Gas bill,Utilities,Direct Debit,45.6,Winter heating
10/01/2025,Bus pass (monthly),Transport,Debit Card,65,Recurring
12/01/2025,Streaming subscription,Entertainment,Credit Card,9.99,Recurring
15/01/2025,Dinner out,Food,Credit Card,32.8,Birthday dinner
18/01/2025,Online course,Education,Credit Card,120,One-off
20/01/2025,Phone bill,Utilities,Direct Debit,25,Recurring
22/01/2025,Concert ticket,Entertainment,Debit Card,45,Live music
24/01/2025,Taxi ride,Transport,Credit Card,18.75,Night out
25/01/2025,Gym membership,Health,Bank Transfer,40,Recurring
28/01/2025,Groceries,Food,Debit Card,62.1,Weekly groceries
30/01/2025,Pharmacy purchase,Health,Cash,12.3,Over-the-counter meds
31/01/2025,Weekend trip hotel,Travel,Credit Card,150,Mini vacation
02/02/2025,Weekend trip meals,Travel,Credit Card,68.9,Mini vacation
05/02/2025,Supermarket groceries,Food,Debit Card,59.4,Weekly groceries
07/02/2025,Monthly rent,Housing,Bank Transfer,1200,Recurring
08/02/2025,Gas bill,Utilities,Direct Debit,47.25,Winter heating
10/02/2025,Bus pass (monthly),Transport,Debit Card,65,Recurring
12/02/2025,Streaming subscription,Entertainment,Credit Card,9.99,Recurring
14/02/2025,Valentine’s dinner,Food,Credit Card,95.6,Special occasion
16/02/2025,Clothes shopping,Shopping,Credit Card,180,Winter sale
18/02/2025,University textbook,Education,Credit Card,65,Semester
20/02/2025,Phone bill,Utilities,Direct Debit,25,Recurring
22/02/2025,Theater tickets,Entertainment,Debit Card,72,Play
23/02/2025,Pharmacy visit,Health,Cash,24.6,Vitamins
25/02/2025,Gym membership,Health,Bank Transfer,40,Recurring
26/02/2025,Groceries,Food,Debit Card,61.75,Weekly groceries
28/02/2025,Flight booking,Travel,Credit Card,320,Spring holiday
02/03/2025,Coffee & croissant,Food,Cash,6.4,Workday breakfast
04/03/2025,Supermarket groceries,Food,Debit Card,57.3,Weekly groceries
07/03/2025,Monthly rent,Housing,Bank Transfer,1200,Recurring
08/03/2025,Gas bill,Utilities,Direct Debit,41.1,Spring usage
10/03/2025,Bus pass (monthly),Transport,Debit Card,65,Recurring
12/03/2025,Streaming subscription,Entertainment,Credit Card,9.99,Recurring
14/03/2025,Dinner & drinks,Food,Credit Card,84.2,Friends outing
17/03/2025,New headphones,Shopping,Credit Card,210,Electronics
20/03/2025,Phone bill,Utilities,Direct Debit,25,Recurring
22/03/2025,Museum entry,Entertainment,Cash,12,Weekend activity
24/03/2025,Groceries,Food,Debit Card,63.8,Weekly groceries
25/03/2025,Gym membership,Health,Bank Transfer,40,Recurring
27/03/2025,Dentist checkup,Health,Credit Card,95,Annual check
29/03/2025,Weekend trip hotel,Travel,Credit Card,140,Short break
30/03/2025,Weekend trip meals,Travel,Credit Card,74.5,Short break
